K02869|RP-L12,_rpl12;_large_subunit_ribosomal_protein_L12
K14058|ttcA;_tRNA_2-thiocytidine_biosynthesis_protein_TtcA
K02411|fliH;_flagellar_assembly_protein_FliH
K00317|dmd-tmd;_dimethylamine/trimethylamine_dehydrogenase_[EC:1.5.8.1_1.5.8.2]
K08311|nudH;_putative_(di)nucleoside_polyphosphate_hydrolase_[EC:3.6.1.-]
K02387|flgB;_flagellar_basal-body_rod_protein_FlgB
K11335|bchZ;_3,8-divinyl_chlorophyllide_a/chlorophyllide_a_reductase_subunit_Z_[EC:1.3.7.14_1.3.7.15]
K11784|mqnC;_cyclic_dehypoxanthinyl_futalosine_synthase_[EC:1.21.98.1]
K15523|FN3KRP;_protein-ribulosamine_3-kinase_[EC:2.7.1.172]
K02456|gspG;_general_secretion_pathway_protein_G
K11334|bchY;_3,8-divinyl_chlorophyllide_a/chlorophyllide_a_reductase_subunit_Y_[EC:1.3.7.14_1.3.7.15]
K02453|gspD;_general_secretion_pathway_protein_D
K04761|oxyR;_LysR_family_transcriptional_regulator,_hydrogen_peroxide-inducible_genes_activator
K09860|flgP;_outer_membrane_protein_FlgP
K03314|nhaB;_Na+:H+_antiporter,_NhaB_family
K15581|oppB;_oligopeptide_transport_system_permease_protein
K26060|gtd2;_glucoside_3-dehydrogenase_(cytochrome_c)_hitch-hiker_subunit
K04035|E1.14.13.81,_acsF,_chlE;_magnesium-protoporphyrin_IX_monomethyl_ester_(oxidative)_cyclase_[EC:1.14.13.81]
K02458|gspI;_general_secretion_pathway_protein_I
K04039|chlB;_light-independent_protochlorophyllide_reductase_subunit_B_[EC:1.3.7.7]
K18688|fadD19;_3-oxocholest-4-en-26-oate---CoA_ligase_[EC:6.2.1.42]
K09846|crtF;_demethylspheroidene_O-methyltransferase_[EC:2.1.1.210]
K14063|feaR;_AraC_family_transcriptional_regulator,_positive_regulator_of_tynA_and_feaB
K03177|truB,_PUS4,_TRUB1;_tRNA_pseudouridine55_synthase_[EC:5.4.99.25]
K03403|chlH,_bchH;_magnesium_chelatase_subunit_H_[EC:6.6.1.1]
K03428|bchM,_chlM;_magnesium-protoporphyrin_O-methyltransferase_[EC:2.1.1.11]
K08226|pucC;_MFS_transporter,_BCD_family,_chlorophyll_transporter
K02339|holC;_DNA_polymerase_III_subunit_chi_[EC:2.7.7.7]
K03611|dsbB;_protein_dithiol:quinone_oxidoreductase_[EC:1.8.5.9]
K16091|fecA;_Fe(3+)_dicitrate_transport_protein
K24138|prx3;_glutaredoxin/glutathione-dependent_peroxiredoxin_[EC:1.11.1.25_1.11.1.27]
K12256|spuC;_putrescine---pyruvate_transaminase_[EC:2.6.1.113]
K18456|E3.5.4.32;_8-oxoguanine_deaminase_[EC:3.5.4.32]
K20625|ahy;_acetylene_hydratase_[EC:4.2.1.112]
K06180|rluD;_23S_rRNA_pseudouridine1911/1915/1917_synthase_[EC:5.4.99.23]
K00906|aceK;_isocitrate_dehydrogenase_kinase/phosphatase_[EC:2.7.11.5_3.1.3.-]
K03565|recX;_regulatory_protein
K02396|flgK;_flagellar_hook-associated_protein_1
K02398|flgM;_negative_regulator_of_flagellin_synthesis_FlgM
K03777|dld;_D-lactate_dehydrogenase_(quinone)_[EC:1.1.5.12]
K02462|gspM;_general_secretion_pathway_protein_M
K02400|flhA;_flagellar_biosynthesis_protein_FlhA
K02457|gspH;_general_secretion_pathway_protein_H
K02742|sprT;_SprT_protein
K13779|atuE;_isohexenylglutaconyl-CoA_hydratase_[EC:4.2.1.57]
K02420|fliQ;_flagellar_biosynthesis_protein_FliQ
K23743|E3.4.24.33;_peptidyl-Asp_metalloendopeptidase_[EC:3.4.24.33]
K04037|chlL;_light-independent_protochlorophyllide_reductase_subunit_L_[EC:1.3.7.7]
K07823|pcaF;_3-oxoadipyl-CoA_thiolase_[EC:2.3.1.174]
K10533|E3.3.2.8;_limonene-1,2-epoxide_hydrolase_[EC:3.3.2.8]
K02405|fliA,_whiG;_RNA_polymerase_sigma_factor_FliA
K16053|ybdG,_mscM;_miniconductance_mechanosensitive_channel
K02460|gspK;_general_secretion_pathway_protein_K
K02196|ccmD;_heme_exporter_protein_D
K02674|pilY1;_type_IV_pilus_assembly_protein_PilY1
K14520|hapE;_4-hydroxyacetophenone_monooxygenase_[EC:1.14.13.84]
K00690|E2.4.1.7;_sucrose_phosphorylase_[EC:2.4.1.7]
K02397|flgL;_flagellar_hook-associated_protein_3_FlgL
K02406|fliC,_hag;_flagellin
K15236|linA;_gamma-hexachlorocyclohexane_dehydrochlorinase_[EC:4.5.1.-]
K03379|chnB;_cyclohexanone_monooxygenase_[EC:1.14.13.22]
K00822|E2.6.1.18;_beta-alanine--pyruvate_transaminase_[EC:2.6.1.18]
K02558|mpl;_UDP-N-acetylmuramate:_L-alanyl-gamma-D-glutamyl-meso-diaminopimelate_ligase_[EC:6.3.2.45]
K02415|fliL;_flagellar_protein_FliL
K07167|chrR;_putative_transcriptional_regulator
K02388|flgC;_flagellar_basal-body_rod_protein_FlgC
K09906|epmC;_elongation_factor_P_hydroxylase_[EC:1.14.-.-]
K01475|E3.5.2.20;_isatin_hydrolase_[EC:3.5.2.20]
K02399|flgN;_flagellar_biosynthesis_protein_FlgN
K26602|yihN;_MFS_transporter,_GlpU_family,_inner_membrane_protein
K03650|mnmE,_trmE,_MSS1;_tRNA_modification_GTPase_[EC:3.6.-.-]
K02557|motB;_chemotaxis_protein_MotB
K02390|flgE;_flagellar_hook_protein_FlgE
K21703|cbbR,_cmpR,_ndhR;_LysR_family_transcriptional_regulator,_low_CO2-responsive_transcriptional_regulator
K03683|rnt;_ribonuclease_T_[EC:3.1.13.-]
K02393|flgH;_flagellar_L-ring_protein_FlgH
K02386|flgA;_flagellar_basal_body_P-ring_formation_protein_FlgA
K02414|fliK;_flagellar_hook-length_control_protein_FliK
K08484|ptsP;_phosphotransferase_system,_enzyme_I,_PtsP_[EC:2.7.3.9]
K03301|TC.AAA;_ATP:ADP_antiporter,_AAA_family
K02199|ccmG,_dsbE;_cytochrome_c_biogenesis_protein_CcmG,_thiol:disulfide_interchange_protein_DsbE
K17760|qheDH,_qbdA;_quinohemoprotein_ethanol_dehydrogenase_[EC:1.1.9.1]
K15257|cmoB;_tRNA_(mo5U34)-methyltransferase_[EC:2.1.1.-]
K06917|selU,_mnmH;_tRNA_2-selenouridine_synthase_[EC:2.9.1.3]
K02410|fliG;_flagellar_motor_switch_protein_FliG
K01302|CPQ;_carboxypeptidase_Q_[EC:3.4.17.-]
K02392|flgG;_flagellar_basal-body_rod_protein_FlgG
K02421|fliR;_flagellar_biosynthesis_protein_FliR
K02455|gspF;_general_secretion_pathway_protein_F
K05889|pvadh;_polyvinyl_alcohol_dehydrogenase_(cytochrome)_[EC:1.1.2.6]
K15582|oppC;_oligopeptide_transport_system_permease_protein
K25775|casG;_steroid-24-oyl-CoA_synthetase_[EC:6.2.1.-]
K05818|mhpR;_IclR_family_transcriptional_regulator,_mhp_operon_transcriptional_activator
K11337|bchC;_bacteriochlorophyllide_a_dehydrogenase_[EC:1.1.1.396]
K11168|DHRS12;_dehydrogenase/reductase_SDR_family_member_12_[EC:1.1.-.-]
K02395|flgJ;_peptidoglycan_hydrolase_FlgJ
K02463|gspN;_general_secretion_pathway_protein_N
K03305|TC.POT;_proton-dependent_oligopeptide_transporter,_POT_family
K13991|puhA;_photosynthetic_reaction_center_H_subunit
K22314|GGP;_glucosinolate_gamma-glutamyl_hydrolase_[EC:3.4.19.16]
K01822|E5.3.3.1;_steroid_Delta-isomerase_[EC:5.3.3.1]
K01800|maiA,_GSTZ1;_maleylacetoacetate_isomerase_[EC:5.2.1.2]
K21574|susB;_glucan_1,4-alpha-glucosidase_[EC:3.2.1.3]
K12686|apeE,_estA,_lip-1;_outer_membrane_lipase/esterase
K02473|wbpP;_UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine_4-epimerase_[EC:5.1.3.7_5.1.3.-]
K11068|hlyIII;_hemolysin_III
K09761|rsmE;_16S_rRNA_(uracil1498-N3)-methyltransferase_[EC:2.1.1.193]
K02687|prmA;_ribosomal_protein_L11_methyltransferase_[EC:2.1.1.-]
K19180|tll;_dTDP-6-deoxy-L-talose_4-dehydrogenase_(NAD+)_[EC:1.1.1.339]
K03558|cvpA;_membrane_protein_required_for_colicin_V_production
K15915|pglC;_undecaprenyl_phosphate_N,N'-diacetylbacillosamine_1-phosphate_transferase_[EC:2.7.8.36]
K24846|pglK;_ATP-binding_cassette,_subfamily_B,_bacterial_PglK_[EC:7.5.2.-]
K03545|tig;_trigger_factor
K18162|NDUFAF5;_NADH_dehydrogenase_[ubiquinone]_1_alpha_subcomplex_assembly_factor_5_[EC:2.1.1.-]
K02963|RP-S18,_MRPS18,_rpsR;_small_subunit_ribosomal_protein_S18
K02970|RP-S21,_MRPS21,_rpsU;_small_subunit_ribosomal_protein_S21
K02337|dnaE;_DNA_polymerase_III_subunit_alpha_[EC:2.7.7.7]
K09710|ybeB;_ribosome-associated_protein
K07735|algH;_putative_transcriptional_regulator
K13583|gcrA;_GcrA_cell_cycle_regulator
K03655|recG;_ATP-dependent_DNA_helicase_RecG_[EC:5.6.2.4]
K02835|prfA,_MTRF1,_MRF1;_peptide_chain_release_factor_1
K08305|mltB;_peptidoglycan_lytic_transglycosylase_B_[EC:4.2.2.29]
K11719|lptC;_lipopolysaccharide_export_system_protein_LptC
K02990|RP-S6,_MRPS6,_rpsF;_small_subunit_ribosomal_protein_S6
K03092|rpoN;_RNA_polymerase_sigma-54_factor
K13052|divIC,_divA;_cell_division_protein_DivIC
K22719|envC;_murein_hydrolase_activator
K02939|RP-L9,_MRPL9,_rplI;_large_subunit_ribosomal_protein_L9
K01056|PTH1,_PTRH1,_pth,_spoVC;_peptidyl-tRNA_hydrolase,_PTH1_family_[EC:3.1.1.29]
K02005|ABC.CD.TX;_HlyD_family_secretion_protein
K03072|secD;_preprotein_translocase_subunit_SecD
K03502|umuC;_DNA_polymerase_V
K07336|K07336;_PKHD-type_hydroxylase_[EC:1.14.11.-]
K17680|PEO1;_twinkle_protein_[EC:5.6.2.3]
K15270|sam;_S-adenosylmethionine_uptake_transporter
K10805|tesB;_acyl-CoA_thioesterase_II_[EC:3.1.2.-]
K03210|yajC;_preprotein_translocase_subunit_YajC
K03074|secF;_preprotein_translocase_subunit_SecF
K07560|dtd,_DTD;_D-aminoacyl-tRNA_deacylase_[EC:3.1.1.96]
K04338|csgF;_curli_production_assembly/transport_component_CsgF
K03503|umuD;_DNA_polymerase_V_[EC:3.4.21.-]
K06214|csgG;_curli_production_assembly/transport_component_CsgG
K15771|ganP,_mdxF;_arabinogalactan_oligomer_/_maltooligosaccharide_transport_system_permease_protein
K10215|ethA;_monooxygenase_[EC:1.14.13.-]
K03528|zipA;_cell_division_protein_ZipA
K01207|nagZ;_beta-N-acetylhexosaminidase_[EC:3.2.1.52]
K13795|citB,_tcuB;_citrate/tricarballylate_utilization_protein
K03315|nhaC;_Na+:H+_antiporter,_NhaC_family
K24446|arcD;_arginine/ornithine_antiporter
K07475|cas3;_CRISPR-associated_endonuclease_Cas3-HD_[EC:3.1.-.-]
K10254|ohyA,_sph;_oleate_hydratase_[EC:4.2.1.53]
K10188|lacE,_araN;_lactose/L-arabinose_transport_system_substrate-binding_protein
K11530|lsrG;_(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione_isomerase_[EC:5.3.1.32]
K03745|slyX;_SlyX_protein
K10190|lacG,_araQ;_lactose/L-arabinose_transport_system_permease_protein
K01897|ACSL,_fadD;_long-chain_acyl-CoA_synthetase_[EC:6.2.1.3]
K01667|tnaA;_tryptophanase_[EC:4.1.99.1]
K07291|dipps;_CDP-L-myo-inositol_myo-inositolphosphotransferase_[EC:2.7.8.34]
K03780|ttdB;_L(+)-tartrate_dehydratase_beta_subunit_[EC:4.2.1.32]
K01646|citD;_citrate_lyase_subunit_gamma_(acyl_carrier_protein)
K02519|infB,_MTIF2;_translation_initiation_factor_IF-2
K04568|epmA,_poxA;_elongation_factor_P--(R)-beta-lysine_ligase_[EC:6.3.1.-]
K23150|E3.5.1.129;_N5-(cytidine_5'-diphosphoramidyl)-L-glutamine_hydrolase_[EC:3.5.1.129]
K22424|E2.7.3.13;_glutamine_kinase_[EC:2.7.3.13]
K15773|hipB;_HTH-type_transcriptional_regulator_/_antitoxin_HipB
K19087|csa5;_CRISPR-associated_protein_Csa5
K00024|mdh;_malate_dehydrogenase_[EC:1.1.1.37]
K12139|hyfD;_hydrogenase-4_component_D_[EC:1.-.-.-]
K07814|K07814;_cyclic_di-GMP_phosphodiesterase_[EC:3.1.4.-]
K00556|trmH;_tRNA_(guanosine-2'-O-)-methyltransferase_[EC:2.1.1.34]
K08295|abmG;_2-aminobenzoate-CoA_ligase_[EC:6.2.1.32]
K22174|fqoF;_F420H2:quinone_oxidoreductase_subunit_F_[EC:1.1.98.4]
K19997|gnu;_GlcNAc-P-P-Und_epimerase_[EC:5.1.3.26]
K17619|MDP1;_magnesium-dependent_phosphatase_1_[EC:3.1.3.48_3.1.3.-]
K18500|hmeC;_heterodisulfide_reductase_cytochrome_b-like_subunit
K18501|hmeD;_heterodisulfide_reductase_iron-sulfur_subunit
K11991|tadA;_tRNA(adenine34)_deaminase_[EC:3.5.4.33]
K01181|E3.2.1.8,_xynA;_endo-1,4-beta-xylanase_[EC:3.2.1.8]
K11878|PSMG4,_PAC4;_proteasome_assembly_chaperone_4
K02082|agaS;_D-galactosamine_6-phosphate_deaminase/isomerase_[EC:3.5.99.-]
K02900|RP-L27Ae,_RPL27A;_large_subunit_ribosomal_protein_L27Ae
K10118|msmF;_raffinose/stachyose/melibiose_transport_system_permease_protein
K10119|msmG;_raffinose/stachyose/melibiose_transport_system_permease_protein
K01060|cah;_cephalosporin-C_deacetylase_[EC:3.1.1.41]
K05988|dexA;_dextranase_[EC:3.2.1.11]
K02055|ABC.SP.S;_putative_spermidine/putrescine_transport_system_substrate-binding_protein
K20810|mqnX;_aminodeoxyfutalosine_deaminase_[EC:3.5.4.40]
K00004|BDH,_butB;_(R,R)-butanediol_dehydrogenase_/_meso-butanediol_dehydrogenase_/_diacetyl_reductase_[EC:1.1.1.4_1.1.1.-_1.1.1.303]
K00008|SORD,_gutB;_L-iditol_2-dehydrogenase_[EC:1.1.1.14]
K08322|rspB;_L-gulonate_5-dehydrogenase_[EC:1.1.1.380]
K21006|pelA;_polysaccharide_biosynthesis_protein_PelA
K00009|mtlD;_mannitol-1-phosphate_5-dehydrogenase_[EC:1.1.1.17]
K07455|recT;_recombination_protein_RecT
K11089|TROVE2,_SSA2;_60_kDa_SS-A/Ro_ribonucleoprotein
K00187|vorB;_2-oxoisovalerate_ferredoxin_oxidoreductase_beta_subunit_[EC:1.2.7.7]
K14102|ehaK;_energy-converting_hydrogenase_A_subunit_K
K14100|ehaI;_energy-converting_hydrogenase_A_subunit_I
K02485|rssB,_hnr;_two-component_system,_response_regulator
K10834|hmuV,_phuV,_bhuV,_hemV;_heme_transport_system_ATP-binding_protein_[EC:7.6.2.5]
K01439|dapE;_succinyl-diaminopimelate_desuccinylase_[EC:3.5.1.18]
K03637|moaC,_CNX3;_cyclic_pyranopterin_monophosphate_synthase_[EC:4.6.1.17]
K21677|hpnE;_hydroxysqualene_dehydroxylase_[EC:1.17.8.1]
K01004|pcs;_phosphatidylcholine_synthase_[EC:2.7.8.24]
K16515|galB;_4-oxalomesaconate_hydratase_[EC:4.2.1.83]
K17609|NXN;_nucleoredoxin_[EC:1.8.1.8]
K03218|rlmB;_23S_rRNA_(guanosine2251-2'-O)-methyltransferase_[EC:2.1.1.185]
K01278|DPP4,_CD26;_dipeptidyl-peptidase_4_[EC:3.4.14.5]
K14977|ylbA,_UGHY;_(S)-ureidoglycine_aminohydrolase_[EC:3.5.3.26]
K05834|rhtB;_homoserine/homoserine_lactone_efflux_protein
K21827|arcR;_IclR_family_transcriptional_regulator,_arginine_deiminase_pathway_regulator
K20486|nisP,_epiP;_lantibiotic_leader_peptide-processing_serine_protease_[EC:3.4.21.-]
K00185|dmsC;_dimethyl_sulfoxide_reductase_membrane_subunit
K16784|bioM;_biotin_transport_system_ATP-binding_protein_[EC:7.6.2.-]
K01070|frmB,_ESD,_fghA;_S-formylglutathione_hydrolase_[EC:3.1.2.12]
K06211|nadR;_HTH-type_transcriptional_regulator,_transcriptional_repressor_of_NAD_biosynthesis_genes_[EC:2.7.7.1_2.7.1.22]
K03811|pnuC;_nicotinamide_mononucleotide_transporter
K07154|hipA;_serine/threonine-protein_kinase_HipA_[EC:2.7.11.1]
K02843|waaF,_rfaF;_lipopolysaccharide_heptosyltransferase_II_[EC:2.4.99.24]
K04087|hflC;_modulator_of_FtsH_protease_HflC
K04088|hflK;_modulator_of_FtsH_protease_HflK
K03684|rnd;_ribonuclease_D_[EC:3.1.13.5]
K03676|grxC,_GLRX,_GLRX2;_glutaredoxin_3
K07015|yqeG;_putative_phosphatase_[EC:3.1.3.-]
K07056|rsmI;_16S_rRNA_(cytidine1402-2'-O)-methyltransferase_[EC:2.1.1.198]
K14761|rlbA,_ybcJ;_ribosome-associated_protein
K01989|K01989;_putative_tryptophan/tyrosine_transport_system_substrate-binding_protein
K00945|cmk;_CMP/dCMP_kinase_[EC:2.7.4.25]
K17816|NUDT1,_MTH1;_8-oxo-dGTP_diphosphatase_/_2-hydroxy-dATP_diphosphatase_[EC:3.6.1.55_3.6.1.56]
K01425|glsA,_GLS;_glutaminase_[EC:3.5.1.2]
K23148|E2.7.1.224;_cytidine_diphosphoramidate_kinase_[EC:2.7.1.224]
K07175|phoH2;_PhoH-like_ATPase
K09153|K09153;_small_membrane_protein
K10543|xylF;_D-xylose_transport_system_substrate-binding_protein
K15778|pmm-pgm;_phosphomannomutase_/_phosphoglucomutase_[EC:5.4.2.8_5.4.2.2]
K22952|pvcA;_L-tyrosine_isonitrile_synthase_[EC:4.1.99.24]
K17361|ACOT9;_acyl-coenzyme_A_thioesterase_9_[EC:3.1.2.-]
K02123|ATPVI,_ntpI,_atpI;_V/A-type_H+/Na+-transporting_ATPase_subunit_I
K07261|mepA;_penicillin-insensitive_murein_DD-endopeptidase_[EC:3.4.24.-]
K03921|FAB2,_SSI2,_desA1;_acyl-[acyl-carrier-protein]_desaturase_[EC:1.14.19.2_1.14.19.11_1.14.19.26]
K02316|dnaG;_DNA_primase_[EC:2.7.7.101]
K11709|troD,_mntD,_znuB;_manganese/zinc/iron_transport_system_permease_protein
K02074|ABC.ZM.A;_zinc/manganese_transport_system_ATP-binding_protein
K11710|troB,_mntB,_znuC;_manganese/zinc/iron_transport_system_ATP-_binding_protein_[EC:7.2.2.5]
K11707|troA,_mntA,_znuA;_manganese/zinc/iron_transport_system_substrate-binding_protein
K11708|troC,_mntC,_znuB;_manganese/zinc/iron_transport_system_permease_protein
K15153|MED31,_SOH1;_mediator_of_RNA_polymerase_II_transcription_subunit_31
K02371|fabK;_enoyl-[acyl-carrier_protein]_reductase_II_[EC:1.3.1.9]
K00970|pcnB;_poly(A)_polymerase_[EC:2.7.7.19]
K02884|RP-L19,_MRPL19,_rplS;_large_subunit_ribosomal_protein_L19
K13472|raxST;_sulfotransferase
K00865|glxK,_garK;_glycerate_2-kinase_[EC:2.7.1.165]
K17310|SAA;_serum_amyloid_A_protein
K07482|K07482;_transposase,_IS30_family
K13665|gumL;_pyruvyltransferase
K01611|speD,_AMD1;_S-adenosylmethionine_decarboxylase_[EC:4.1.1.50]
K00756|pdp;_pyrimidine-nucleoside_phosphorylase_[EC:2.4.2.2]
K24157|prxII;_thioredoxin-dependent_peroxiredoxin_[EC:1.11.1.24]
K08169|yebQ;_MFS_transporter,_DHA2_family,_multidrug_resistance_protein
K16326|yeiL;_CRP/FNR_family_transcriptional_regulator,_putaive_post-exponential-phase_nitrogen-starvation_regulator
K14347|SLC10A7,_P7;_solute_carrier_family_10_(sodium/bile_acid_cotransporter),_member_7
K08139|HXT;_MFS_transporter,_SP_family,_sugar:H+_symporter
K08150|SLC2A13,_ITR;_MFS_transporter,_SP_family,_solute_carrier_family_2_(myo-inositol_transporter),_member_13
K07667|kdpE;_two-component_system,_OmpR_family,_KDP_operon_response_regulator_KdpE
K09809|tagF;_CDP-glycerol_glycerophosphotransferase_[EC:2.7.8.12]
K00712|tagE;_poly(glycerol-phosphate)_alpha-glucosyltransferase_[EC:2.4.1.52]
K14680|K14680;_putative_RNA_ligase_[EC:6.5.1.-]
K07172|mazE,_chpAI;_antitoxin_MazE
K00049|GRHPR;_glyoxylate/hydroxypyruvate_reductase_[EC:1.1.1.79_1.1.1.81]
K16924|mtsT;_energy-coupling_factor_transport_system_substrate-specific_component
K22405|fprA1_2;_NADH_oxidase_(H2O-forming)_[EC:1.6.3.4]
K17362|ACOT13;_acyl-coenzyme_A_thioesterase_13_[EC:3.1.2.-]
K20109|zmp1;_Pro-Pro_endopeptidase_[EC:3.4.24.89]
K11179|tusE,_dsrC;_tRNA_2-thiouridine_synthesizing_protein_E_[EC:2.8.1.-]
K08357|ttrA;_tetrathionate_reductase_subunit_A
K09888|zapA;_cell_division_protein_ZapA
K07130|kynB;_arylformamidase_[EC:3.5.1.9]
K02077|ABC.ZM.S;_zinc/manganese_transport_system_substrate-binding_protein
K09818|ABC.MN.S;_manganese/iron_transport_system_substrate-binding_protein
K00537|arsC;_arsenate_reductase_(glutaredoxin)_[EC:1.20.4.1]
K02083|allC;_allantoate_deiminase_[EC:3.5.3.9]
K06016|pydC;_beta-ureidopropionase_/_N-carbamoyl-L-amino-acid_hydrolase_[EC:3.5.1.6_3.5.1.87]
K18369|adh2;_alcohol_dehydrogenase_[EC:1.1.1.-]
K01683|araD;_D-arabinonate_dehydratase_[EC:4.2.1.5]
K10117|msmE;_raffinose/stachyose/melibiose_transport_system_substrate-binding_protein
K02803|nagEb;_N-acetylglucosamine_PTS_system_EIIB_component_[EC:2.7.1.193]
K03311|TC.LIVCS;_branched-chain_amino_acid:cation_transporter,_LIVCS_family
K03813|modD;_molybdenum_transport_protein_[EC:2.4.2.-]
K02404|flhF;_flagellar_biosynthesis_protein_FlhF
K03554|rdgC;_recombination_associated_protein_RdgC
K10943|flrC,_fleR,_flaM;_two-component_system,_response_regulator_FlrC
K03199|virB4,_lvhB4;_type_IV_secretion_system_protein_VirB4_[EC:7.4.2.8]
K00988|APA1_2;_sulfate_adenylyltransferase_(ADP)_/_ATP_adenylyltransferase_[EC:2.7.7.5_2.7.7.53]
K13816|rpfF;_DSF_synthase
K01878|glyQ;_glycyl-tRNA_synthetase_alpha_chain_[EC:6.1.1.14]
K09767|yajQ;_cyclic-di-GMP-binding_protein
K02945|RP-S1,_rpsA;_small_subunit_ribosomal_protein_S1
K07040|yceD,_ylbN;_DUF177_domain-containing_protein
K16566|exoY;_exopolysaccharide_production_protein_ExoY
K02919|RP-L36,_MRPL36,_rpmJ;_large_subunit_ribosomal_protein_L36
K03621|plsX;_phosphate_acyltransferase_[EC:2.3.1.274]
K21900|cysL;_LysR_family_transcriptional_regulator,_transcriptional_activator_of_the_cysJI_operon
K09800|tamB;_translocation_and_assembly_module_TamB
K15460|yfiC,_trmX;_tRNA1Val_(adenine37-N6)-methyltransferase_[EC:2.1.1.223]
K03772|fkpA;_FKBP-type_peptidyl-prolyl_cis-trans_isomerase_FkpA_[EC:5.2.1.8]
K03773|fklB;_FKBP-type_peptidyl-prolyl_cis-trans_isomerase_FklB_[EC:5.2.1.8]
K25135|K25135;_cyclic_di-GMP_phosphodiesterase_[EC:3.1.4.-]
K19304|mepM;_murein_DD-endopeptidase_[EC:3.4.24.-]
K10941|flrA,_fleQ,_flaK;_sigma-54_dependent_transcriptional_regulator,_flagellar_regulatory_protein
K03533|torD;_TorA_specific_chaperone
K18802|DUG3;_glutamine_amidotransferase
K01075|E3.1.2.23;_4-hydroxybenzoyl-CoA_thioesterase_[EC:3.1.2.23]
K16167|bpsA,_srsA,_pks11,_pks10;_alkylresorcinol/alkylpyrone_synthase
K02639|petF;_ferredoxin
K16168|bpsB,_srsB;_methyltransferase
K15629|CYP152A;_fatty-acid_peroxygenase_[EC:1.11.2.4]
K15855|csxA;_exo-1,4-beta-D-glucosaminidase_[EC:3.2.1.165]
K00373|narJ,_narW;_nitrate_reductase_molybdenum_cofactor_assembly_chaperone_NarJ/NarW
K00263|E1.4.1.9;_leucine_dehydrogenase_[EC:1.4.1.9]
K01457|atzF;_allophanate_hydrolase_[EC:3.5.1.54]
K22602|hpxW;_oxamate_amidohydrolase_[EC:3.5.1.126]
K24711|K24711;_D-galactose_transport_system_permease_protein
K24710|K24710;_D-galactose_transport_system_permease_protein
K01561|dehH;_haloacetate_dehalogenase_[EC:3.8.1.3]
K24709|K24709;_D-galactose_transport_system_substrate-binding_protein
K23315|basB;_chemotactic_signal_transduction_system_substrate-binding_protein_BasB
K00450|E1.13.11.4;_gentisate_1,2-dioxygenase_[EC:1.13.11.4]
K23347|kdpQ;_probable_Kdp_system_regulatory_protein
K22552|mmcO;_multicopper_oxidase_[EC:1.16.3.1]
K15515|sauS;_sulfoacetaldehyde_dehydrogenase_[EC:1.2.1.81]
K23306|brz;_bacteriorhodopsin-regulating_zinc_finger_protein
K10855|acxA;_acetone_carboxylase,_beta_subunit_[EC:6.4.1.6]
K06377|spo0M;_sporulation-control_protein
K05972|AXE1;_acetylxylan_esterase_[EC:3.1.1.72]
K15066|ligM;_vanillate/3-O-methylgallate_O-demethylase_[EC:2.1.1.341]
K09461|E1.14.13.40;_anthraniloyl-CoA_monooxygenase_[EC:1.14.13.40]
K07795|tctC;_putative_tricarboxylic_transport_membrane_protein
K05781|phnK;_putative_phosphonate_transport_system_ATP-binding_protein
K24716|atcA;_3-oxo-Delta1-steroid_hydratase/dehydrogenase_large_subunit_[EC:1.17.99.11]
K10237|thuF,_sugA;_trehalose/maltose_transport_system_permease_protein
K24719|sph1;_smc-like_protein_Sph1
K02775|gatC,_sgcC;_galactitol_PTS_system_EIIC_component
K02774|gatB,_sgcB;_galactitol_PTS_system_EIIB_component_[EC:2.7.1.200]
K00276|AOC3,_AOC2,_tynA;_primary-amine_oxidase_[EC:1.4.3.21]
K01182|IMA,_malL;_oligo-1,6-glucosidase_[EC:3.2.1.10]
K18479|yihS;_sulfoquinovose_isomerase_[EC:5.3.1.31]
K22112|amiS;_putative_amide_transporter_protein
K16213|cbe,_mbe;_cellobiose_epimerase_[EC:5.1.3.11]
K11069|potD;_spermidine/putrescine_transport_system_substrate-binding_protein
K19660|araDH;_L-arabinose_1-dehydrogenase_[NAD(P)+]_[EC:1.1.1.376]
K00862|eryA;_erythritol_kinase_(D-erythritol_1-phosphate-forming)_[EC:2.7.1.215]
K25046|xacH;_L-arabinose/D-xylose_transport_system_permease_protein
K13444|SUMF1,_FGE;_formylglycine-generating_enzyme_[EC:1.8.3.7]
K06113|abnA;_arabinan_endo-1,5-alpha-L-arabinosidase_[EC:3.2.1.99]
K12449|AXS;_UDP-apiose/xylose_synthase
K24696|mftC;_[mycofactocin_precursor_peptide]-tyrosine_decarboxylase_/_3-amino-5-[(4-hydroxyphenyl)methyl]-4,4-dimethylpyrrolidin-2-one_synthase_[EC:1.3.98.7_4.1.99.26]
K23252|aglS;_dolichol_phosphate-mannose_mannosyltransferase_[EC:2.4.1.-]
K08316|rsmD;_16S_rRNA_(guanine966-N2)-methyltransferase_[EC:2.1.1.171]
K25045|xacG;_L-arabinose/D-xylose_transport_system_substrate-binding_protein
K25047|xacI;_L-arabinose/D-xylose_transport_system_permease_protein
K02768|fruB;_fructose_PTS_system_EIIA_component_[EC:2.7.1.202]
K17468|dgaE;_D-glucosaminate-6-phosphate_ammonia-lyase_[EC:4.3.1.29]
